state,x,y
Alabama,130,-85
Alaska,-204,-170
Arizona,-220,-50
Arkansas,40,-53
California,-320,13
Colorado,-125,20
Connecticut,297,83
Delaware,275,42
Florida,215,-145
Georgia,175,-75
Hawaii,-317,-143
Idaho,-216,110
Illinois,80,37
Indiana,120,39
Iowa,38,65
Kansas,-30,5
Kentucky,135,-7
Louisiana,50,-114
Maine,319,164
Maryland,288,27
Massachusetts,300,105
Michigan,130,101
Minnesota,10,135
Mississippi,94,-78
Missouri,35,6
Montana,-150,155
Nebraska,-57,60
Nevada,-270,56
New Hampshire,302,127
New Jersey,282,65
New Mexico,-145,-50
New York,236,104
North Carolina,215,-25
North Dakota,-60,150
Ohio,170,45
Oklahoma,-23,-45
Oregon,-285,130
Pennsylvania,215,68
Rhode Island,318,94
South Carolina,208,-60
South Dakota,-60,100
Tennessee,120,-40
Texas,-38,-106
Utah,-195,34
Vermont,265,140
Virginia,234,12
Washington,-280,185
West Virginia,200,20
Wisconsin,60,113
Wyoming,-145,90
